Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
India,IND,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,25.9542227389497,22.1097247094602,20.9242508026814,21.9507321152243,23.6891407335327,21.2411386333872,19.0756283996012,24.0239304534931,26.8237289453584,23.544144504402,23.4874474548813,..
India,IND,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,34.2678056268836,32.1167301358276,30.172690580036,30.9821728344733,32.3432182154485,30.0961975685688,28.9223840080659,32.1158221755014,33.6192585388984,33.3623103638844,32.9141372549127,..
India,IND,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,11.550620644555,12.4152095425778,12.8510169890546,12.7267619005257,13.1885329486481,..,..,..,9.11011784382656,..,..,..
India,IND,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,9.98465419071312,10.5697090519718,11.1477384183764,11.3874439798131,12.0174277483166,..,..,..,6.73444285965496,..,..,..
India,IND,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.54398176462257,2.45745006060163,2.54315152114541,2.53151136056791,2.42428452604417,2.5459982314359,2.80361581112679,2.46874153034185,2.38309809835882,2.35679426678262,2.2712033218142,..
India,IND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,71.9367,75.3793,83.9178,85.9704,85.5501,82.8981,82.254,81.604,80.1818,80.5632,..,..
India,IND,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,9.22122174793918,8.02476917234515,7.66325704378624,7.36208114076572,9.04145168835151,10.2237396907979,11.0325638466576,10.2125596625118,12.6822794807287,14.9343472986716,18.5723946411049,..
India,IND,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,38.5264969108603,31.4739334261127,27.287425911729,28.2546962843779,31.0493468667603,28.5793910253128,24.2859082425461,30.5789468347666,35.0812421437933,30.3831609995764,29.694506610887,..
India,IND,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,91.8,100,105.1,100.4,95.6,97.9,103.1,91,81.4,87.5,..,..
India,IND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,457507409077.4,478831010025.1,455541896498.9,511575707373.6,521175685410,561017395481.3,564979321177.1,611987174447.7,615514904164.5,647556415555.5,716456023890.4,..
India,IND,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,18.6296205367074,11.2063688175425,17.2634154874596,10.0846800379296,11.3976479343618,9.0023457004643,15.0538331069002,7.81076067172717,8.26658065989597,10.1619274745821,10.493447761841,..
India,IND,Net migration,SM.POP.NETM,-227263,-655085,81248,-251642,-589794,-978969,-73806,-348916,-1353478,-979179,-630830,-495753
India,IND,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,70388642796.547,68909693352.835,62744364089.9511,68967175499.8664,78790170928.6742,83332078002.3031,83149172934.1043,89375152217.5657,111221774722.087,119526055008.101,137674533895.686,..
India,IND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,34576643694.1382,44009492129.5319,44458571545.798,39966091358.7384,42117450737.2644,50610647353.5911,64362364994.3754,44727277562.881,49940258404.2659,28086193530.3979,27139853378.1402,..
India,IND,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,2991821289.0625,3174348388.67188,2679044677.73438,3198135253.90625,2461992431.64063,2551398681.64063,1795723022.46094,3136778564.45313,2818065917.96875,2376562011.71875,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,
